iter	Passed	Remaining
629	30970	67347
630	31007	67273
631	31047	67204
632	31089	67139
633	31137	67088
634	31183	67032
635	31261	67044
636	31333	67044
637	31461	67164
638	31508	67110
639	31548	67040
640	31603	67003
641	31638	66923
642	31679	66856
643	31722	66794
644	31761	66724
645	31845	66746
646	31896	66700
647	31942	66644
648	31980	66573
649	32027	66519
650	32072	66459
651	32115	66398
652	32157	66334
653	32197	66266
654	32247	66219
655	32318	66213
656	32388	66207
657	32440	66162
658	32483	66101
659	32530	66046
660	32579	65996
661	32639	65970
662	32684	65911
663	32736	65866
664	32778	65802
665	32853	65805
666	32907	65765
667	32956	65714
668	33002	65659
669	33046	65598
670	33092	65543
671	33137	65486
672	33184	65431
673	33225	65366
674	33263	65294
675	33323	65265
676	33387	65246
677	33457	65236
678	33500	65176
679	33535	65098
680	33575	65030
681	33618	64970
682	33655	64897
683	33698	64834
684	33734	64759
685	33769	64683
686	33819	64635
687	33885	64617
688	33954	64607
689	34000	64552
690	34045	64494
691	34089	64434
692	34130	64371
693	34178	64317
694	34218	64252
695	34259	64187
696	34311	64142
697	34372	64116
698	34438	64097
699	34489	64052
700	34533	63993
701	34579	63938
702	34628	63886
703	34670	63824
704	34712	63763
705	34767	63724
706	34812	63666
707	34854	63603
708	34885	63521
709	34978	63552
710	35030	63507
711	35068	63438
712	35110	63375
713	35153	63315
714	35195	63252
715	35236	63189
716	35286	63141
717	35332	63087
718	35380	63035
719	35437	62999
720	35516	63002
721	35583	62985
722	35623	62920
723	35669	62864
724	35705	62792
725	35750	62734
726	35783	62658
727	35827	62600
728	35870	62540
729	35914	62481
730	35989	62477
731	36050	62448
732	36093	62388
733	36135	62326
734	36179	62268
735	36226	62215
736	36274	62163
737	36317	62103
738	36362	62047
739	36400	61979
740	36458	61944
741	36531	61936
742	36597	61915
743	36643	61860
744	36689	61805
745	36728	61739
746	36772	61681
747	36814	61620
748	36854	61555
749	36899	61499
750	36939	61433
751	36986	61382
752	37066	61384
753	37114	61331
754	37158	61274
755	37199	61211
756	37239	61148
757	37287	61096
758	37326	61030
759	37366	60965
760	37406	60902
761	37447	60840
762	37504	60803
763	37560	60765
764	37623	60738
765	37679	60701
766	37724	60645
767	37767	60585
768	37808	60523
769	37845	60455
770	37895	60407
771	37940	60350
772	37980	60286
773	38027	60235
774	38099	60221
775	38159	60189
776	38198	60125
777	38243	60068
778	38289	60014
779	38333	59957
780	38379	59903
781	38427	59852
782	38471	59796
783	38517	59740
784	38577	59708
785	38652	59699
786	38715	59672
787	38759	59614
788	38800	59553
789	38837	59485
790	38882	59430
791	38925	59371
792	38973	59320
793	39014	59258
794	39058	59201
795	39100	59141
796	39178	59136
797	39243	59111
798	39289	59057
799	39333	59000
800	39378	58944
801	39421	58886
802	39460	58822
803	39500	58758
804	39539	58695
805	39582	58636
806	39654	58621
807	39720	58597
808	39801	58595
809	39909	58632
810	39951	58572
811	39986	58502
812	40033	58449
813	40073	58386
814	40112	58322
815	40155	58265
816	40235	58259
817	40283	58209
818	40329	58154
819	40378	58105
820	40418	58042
821	40461	57985
822	40507	57931
823	40563	57891
824	40613	57843
825	40657	57786
826	40724	57762
827	40779	57722
828	40846	57697
829	40903	57658
830	40947	57602
831	40989	57543
832	41031	57483
833	41080	57433
834	41125	57379
835	41165	57316
836	41208	57258
837	41294	57260
838	41347	57216
839	41389	57156
840	41436	57104
841	41474	57039
842	41516	56981
843	41556	56919
